Ratio,Run,Phase,Tree,Metric,Value_ns
20,14,Delete,WAVL Tree,Latency,1010
20,14,Traversal,RB Tree,Latency,64818132
20,14,Traversal,WAVL Tree,Latency,64707574
20,15,Insert,RB Tree,Latency,1002
20,15,Insert,WAVL Tree,Latency,1043
20,15,Lookup,RB Tree,Latency,1005
20,15,Lookup,WAVL Tree,Latency,1026
20,15,Delete,RB Tree,Latency,1009
20,15,Delete,WAVL Tree,Latency,1010
20,15,Traversal,RB Tree,Latency,63456863
20,15,Traversal,WAVL Tree,Latency,63756132
20,16,Insert,RB Tree,Latency,1004
20,16,Insert,WAVL Tree,Latency,1043
20,16,Lookup,RB Tree,Latency,1007
20,16,Lookup,WAVL Tree,Latency,1025
20,16,Delete,RB Tree,Latency,1009
20,16,Delete,WAVL Tree,Latency,1012
20,16,Traversal,RB Tree,Latency,66833460
20,16,Traversal,WAVL Tree,Latency,68678168
20,17,Insert,RB Tree,Latency,1000
20,17,Insert,WAVL Tree,Latency,1041
20,17,Lookup,RB Tree,Latency,1004
20,17,Lookup,WAVL Tree,Latency,1024
20,17,Delete,RB Tree,Latency,1006
20,17,Delete,WAVL Tree,Latency,1011
20,17,Traversal,RB Tree,Latency,64179926
20,17,Traversal,WAVL Tree,Latency,65788083
20,18,Insert,RB Tree,Latency,1015
20,18,Insert,WAVL Tree,Latency,1042
20,18,Lookup,RB Tree,Latency,1017
20,18,Lookup,WAVL Tree,Latency,1026
20,18,Delete,RB Tree,Latency,1008
20,18,Delete,WAVL Tree,Latency,1011
20,18,Traversal,RB Tree,Latency,65297869
20,18,Traversal,WAVL Tree,Latency,64855148
20,19,Insert,RB Tree,Latency,1001
20,19,Insert,WAVL Tree,Latency,1043
20,19,Lookup,RB Tree,Latency,1007
20,19,Lookup,WAVL Tree,Latency,1026
20,19,Delete,RB Tree,Latency,1008
20,19,Delete,WAVL Tree,Latency,1011
20,19,Traversal,RB Tree,Latency,67518320
20,19,Traversal,WAVL Tree,Latency,68423388
20,20,Insert,RB Tree,Latency,1005
20,20,Insert,WAVL Tree,Latency,1041
20,20,Lookup,RB Tree,Latency,1010
20,20,Lookup,WAVL Tree,Latency,1021
20,20,Delete,RB Tree,Latency,1009
20,20,Delete,WAVL Tree,Latency,1012
20,20,Traversal,RB Tree,Latency,66994304
20,20,Traversal,WAVL Tree,Latency,68458658
20,21,Insert,RB Tree,Latency,997
20,21,Insert,WAVL Tree,Latency,1044
20,21,Lookup,RB Tree,Latency,1008
20,21,Lookup,WAVL Tree,Latency,1032
20,21,Delete,RB Tree,Latency,1006
20,21,Delete,WAVL Tree,Latency,1010
20,21,Traversal,RB Tree,Latency,65278663
20,21,Traversal,WAVL Tree,Latency,65077940
20,22,Insert,RB Tree,Latency,1000
20,22,Insert,WAVL Tree,Latency,1042
20,22,Lookup,RB Tree,Latency,1006
20,22,Lookup,WAVL Tree,Latency,1023
20,22,Delete,RB Tree,Latency,1008
20,22,Delete,WAVL Tree,Latency,1011
20,22,Traversal,RB Tree,Latency,67269198
20,22,Traversal,WAVL Tree,Latency,68497490
20,23,Insert,RB Tree,Latency,1001
20,23,Insert,WAVL Tree,Latency,1042
20,23,Lookup,RB Tree,Latency,1007
20,23,Lookup,WAVL Tree,Latency,1025
20,23,Delete,RB Tree,Latency,1008
20,23,Delete,WAVL Tree,Latency,1012
20,23,Traversal,RB Tree,Latency,63892322
20,23,Traversal,WAVL Tree,Latency,63433048
20,24,Insert,RB Tree,Latency,1004
20,24,Insert,WAVL Tree,Latency,1043
20,24,Lookup,RB Tree,Latency,1006
20,24,Lookup,WAVL Tree,Latency,1023
20,24,Delete,RB Tree,Latency,1008
20,24,Delete,WAVL Tree,Latency,1013
20,24,Traversal,RB Tree,Latency,66369647
20,24,Traversal,WAVL Tree,Latency,65605099
20,25,Insert,RB Tree,Latency,1006
20,25,Insert,WAVL Tree,Latency,1047
20,25,Lookup,RB Tree,Latency,1008
20,25,Lookup,WAVL Tree,Latency,1028
20,25,Delete,RB Tree,Latency,1007
20,25,Delete,WAVL Tree,Latency,1014
20,25,Traversal,RB Tree,Latency,64730762
20,25,Traversal,WAVL Tree,Latency,65179070
20,26,Insert,RB Tree,Latency,1008
20,26,Insert,WAVL Tree,Latency,1043
20,26,Lookup,RB Tree,Latency,1012
20,26,Lookup,WAVL Tree,Latency,1030
20,26,Delete,RB Tree,Latency,1006
20,26,Delete,WAVL Tree,Latency,1010
20,26,Traversal,RB Tree,Latency,66414974
20,26,Traversal,WAVL Tree,Latency,64745777
