Ratio,Run,Tree,Metric,Value
30,6,RB Tree,Branch Misses,36242722
30,6,WAVL Tree,L1 Misses,33385845
30,6,WAVL Tree,LLC Misses,
30,6,WAVL Tree,Branch Misses,38835072
30,7,RB Tree,L1 Misses,34361851
30,7,RB Tree,LLC Misses,
30,7,RB Tree,Branch Misses,36236298
30,7,WAVL Tree,L1 Misses,33533481
30,7,WAVL Tree,LLC Misses,
30,7,WAVL Tree,Branch Misses,38854427
30,8,RB Tree,L1 Misses,33158578
30,8,RB Tree,LLC Misses,
30,8,RB Tree,Branch Misses,36266365
30,8,WAVL Tree,L1 Misses,33109206
30,8,WAVL Tree,LLC Misses,
30,8,WAVL Tree,Branch Misses,38867980
30,9,RB Tree,L1 Misses,33633482
30,9,RB Tree,LLC Misses,
30,9,RB Tree,Branch Misses,36234790
30,9,WAVL Tree,L1 Misses,33865849
30,9,WAVL Tree,LLC Misses,
30,9,WAVL Tree,Branch Misses,38874486
30,10,RB Tree,L1 Misses,33697024
30,10,RB Tree,LLC Misses,
30,10,RB Tree,Branch Misses,36234924
30,10,WAVL Tree,L1 Misses,33886909
30,10,WAVL Tree,LLC Misses,
30,10,WAVL Tree,Branch Misses,38848429
30,11,RB Tree,L1 Misses,34302609
